,accounter,latitude,longitude,altitude,satelliteInView,timingForThisSet,LoopSpeed,UploadSpeed
0,268,0.0,0.0,0.0,0.0,0.0,1040,118
1,268,0.0,0.0,0.0,0.0,0.0,720,118
2,268,0.0,0.0,0.0,0.0,0.0,720,118
3,268,0.0,0.0,0.0,0.0,0.0,720,118
4,268,0.0,0.0,0.0,0.0,0.0,821,118
5,268,0.0,0.0,0.0,0.0,0.0,821,118
6,268,0.0,0.0,0.0,0.0,0.0,619,118
7,268,0.0,0.0,0.0,0.0,0.0,619,118
8,268,0.0,0.0,0.0,0.0,0.0,619,118
9,268,0.0,0.0,0.0,0.0,0.0,922,118
10,268,0.0,0.0,0.0,0.0,0.0,922,118
11,268,0.0,0.0,0.0,0.0,0.0,922,118
12,268,0.0,0.0,0.0,0.0,0.0,821,118
13,268,0.0,0.0,0.0,0.0,0.0,821,118
14,268,0.0,0.0,0.0,0.0,0.0,821,118
15,268,0.0,0.0,0.0,0.0,0.0,2,118
16,269,0.0,0.0,0.0,0.0,0.0,2,118
17,269,0.0,0.0,0.0,0.0,0.0,1574,113
18,269,0.0,0.0,0.0,0.0,0.0,1574,113
19,269,0.0,0.0,0.0,0.0,0.0,1103,113
20,269,0.0,0.0,0.0,0.0,0.0,518,113
21,269,0.0,0.0,0.0,0.0,0.0,1103,113
