,accounter,LoopSpeed,UploadSpeed,set_index,Ax,Ay,Az,gx,gy,gz,temp,timingForThisSet,timeDifference
0,5498,191,130,0,1.76,0.7,-1.44,1.44,1.38,-0.56,34.6,3.0,
1,5498,191,130,1,1.51,0.58,-1.21,1.44,1.39,-0.55,34.55,3.0,
2,5498,191,130,2,1.35,0.56,-1.15,1.44,1.38,-0.54,34.6,3.0,
3,5498,191,130,3,1.13,0.51,-1.18,1.43,1.38,-0.52,34.51,3.0,
4,5498,191,130,4,1.12,0.43,-1.22,1.43,1.39,-0.51,34.6,3.0,
5,5498,191,130,5,1.05,0.38,-1.0,1.42,1.39,-0.49,34.55,3.0,
6,5498,191,130,6,0.81,0.49,-0.96,1.42,1.39,-0.48,34.65,3.0,
7,5498,191,130,7,0.85,0.4,-0.83,1.41,1.38,-0.47,34.6,3.0,
8,5498,191,130,8,0.78,0.31,-0.69,1.4,1.37,-0.46,34.65,3.0,
9,5498,191,130,9,0.68,0.38,-0.53,1.39,1.35,-0.44,34.65,3.0,
10,5498,191,130,10,0.7,0.24,-0.83,1.39,1.35,-0.44,34.6,3.0,
11,5498,191,130,11,0.58,0.13,-0.86,1.38,1.36,-0.43,34.51,3.0,
12,5498,191,130,12,0.53,0.1,-0.73,1.36,1.36,-0.43,34.55,3.0,
13,5498,191,130,13,0.48,0.02,-0.65,1.35,1.35,-0.42,34.65,3.0,
14,5498,191,130,14,0.48,0.05,-0.61,1.35,1.35,-0.41,34.6,2.0,
15,5498,191,130,15,0.47,-0.03,-0.55,1.33,1.34,-0.41,34.51,2.0,
16,5498,191,130,16,0.47,-0.07,-0.52,1.32,1.33,-0.41,34.65,3.0,
17,5498,191,130,17,0.5,-0.12,-0.64,1.31,1.33,-0.41,34.6,3.0,
18,5498,191,130,18,0.47,-0.15,-0.58,1.3,1.32,-0.41,34.6,3.0,
19,5498,191,130,19,0.49,-0.2,-0.59,1.29,1.31,-0.41,34.6,3.0,
20,5499,191,130,0,1.76,0.7,-1.44,1.44,1.38,-0.56,34.6,3.0,
21,5499,191,130,1,1.51,0.58,-1.21,1.44,1.39,-0.55,34.55,3.0,
22,5499,191,130,2,1.35,0.56,-1.15,1.44,1.38,-0.54,34.6,3.0,
23,5499,191,130,3,1.13,0.51,-1.18,1.43,1.38,-0.52,34.51,3.0,
24,5499,191,130,4,1.12,0.43,-1.22,1.43,1.39,-0.51,34.6,3.0,
25,5499,191,130,5,1.05,0.38,-1.0,1.42,1.39,-0.49,34.55,3.0,
26,5499,191,130,6,0.81,0.49,-0.96,1.42,1.39,-0.48,34.65,3.0,
27,5499,191,130,7,0.85,0.4,-0.83,1.41,1.38,-0.47,34.6,3.0,
28,5499,191,130,8,0.78,0.31,-0.69,1.4,1.37,-0.46,34.65,3.0,
29,5499,191,130,9,0.68,0.38,-0.53,1.39,1.35,-0.44,34.65,3.0,
30,5499,191,130,10,0.7,0.24,-0.83,1.39,1.35,-0.44,34.6,3.0,
31,5499,191,130,11,0.58,0.13,-0.86,1.38,1.36,-0.43,34.51,3.0,
32,5499,191,130,12,0.53,0.1,-0.73,1.36,1.36,-0.43,34.55,3.0,
33,5499,191,130,13,0.48,0.02,-0.65,1.35,1.35,-0.42,34.65,3.0,
34,5499,191,130,14,0.48,0.05,-0.61,1.35,1.35,-0.41,34.6,2.0,
35,5499,191,130,15,0.47,-0.03,-0.55,1.33,1.34,-0.41,34.51,2.0,
