,accounter,LoopSpeedArr,UploadSpeedArr,gps_info,set_index,Ax,Ay,Az,gx,gy,gz,temp,timingForThisSet,timeDifference
0,124,170,110,{'Button': {'on': 'On'}},0,-0.85,9.10,-4.31,-0.33,0.31,0.43,30.08,3.00,
1,124,170,110,{'Button': {'on': 'On'}},1,-0.71,8.92,-4.25,-0.34,0.31,0.41,29.99,3.00,
2,124,170,110,{'Button': {'on': 'On'}},2,-0.66,8.95,-4.24,-0.35,0.32,0.40,30.08,3.00,
3,124,170,110,{'Button': {'on': 'On'}},3,-0.81,8.86,-4.12,-0.34,0.32,0.38,29.94,3.00,
4,124,170,110,{'Button': {'on': 'On'}},4,-0.71,8.78,-4.25,-0.36,0.32,0.36,29.99,3.00,
5,124,170,110,{'Button': {'on': 'On'}},5,-0.71,8.79,-4.27,-0.36,0.31,0.33,29.99,3.00,
6,124,170,110,{'Button': {'on': 'On'}},6,-0.60,8.73,-4.33,-0.37,0.31,0.31,29.85,3.00,
7,124,170,110,{'Button': {'on': 'On'}},7,-0.58,8.79,-4.31,-0.38,0.31,0.28,30.04,3.00,
8,124,170,110,{'Button': {'on': 'On'}},8,-0.50,8.67,-4.22,-0.38,0.32,0.25,29.99,3.00,
9,124,170,110,{'Button': {'on': 'On'}},9,-0.45,8.52,-3.88,-0.39,0.30,0.21,29.89,3.00,
10,124,170,110,{'Button': {'on': 'On'}},10,-0.53,8.52,-3.90,-0.38,0.28,0.17,30.04,2.00,
11,124,170,110,{'Button': {'on': 'On'}},11,-0.57,8.70,-4.08,-0.38,0.27,0.14,29.94,3.00,
12,124,170,110,{'Button': {'on': 'On'}},12,-0.68,8.65,-3.85,-0.39,0.26,0.12,30.08,3.00,
13,124,170,110,{'Button': {'on': 'On'}},13,-0.49,8.61,-3.63,-0.37,0.25,0.09,29.99,3.00,
14,124,170,110,{'Button': {'on': 'On'}},14,-0.50,8.66,-3.72,-0.37,0.23,0.06,30.04,3.00,
15,124,170,110,{'Button': {'on': 'On'}},15,-0.51,8.59,-3.52,-0.36,0.22,0.04,29.85,3.00,
16,124,170,110,{'Button': {'on': 'On'}},16,-0.54,8.65,-3.84,-0.36,0.20,0.02,29.94,3.00,
17,124,170,110,{'Button': {'on': 'On'}},17,-0.47,8.66,-3.67,-0.35,0.18,-0.01,29.99,3.00,
18,124,170,110,{'Button': {'on': 'On'}},18,-0.40,8.70,-3.66,-0.34,0.18,-0.03,29.99,3.00,
19,124,170,110,{'Button': {'on': 'On'}},19,-0.46,8.78,-3.82,-0.34,0.17,-0.05,30.04,3.00,
20,123,170,110,{'Button': {'on': 'On'}},0,-0.85,9.10,-4.31,-0.33,0.31,0.43,30.08,3.00,
21,123,170,110,{'Button': {'on': 'On'}},1,-0.71,8.92,-4.25,-0.34,0.31,0.41,29.99,3.00,
22,123,170,110,{'Button': {'on': 'On'}},2,-0.66,8.95,-4.24,-0.35,0.32,0.40,30.08,3.00,
23,123,170,110,{'Button': {'on': 'On'}},3,-0.81,8.86,-4.12,-0.34,0.32,0.38,29.94,3.00,
