accounter,LoopSpeedArr,UploadSpeedArr,set_index,Ax,Ay,Az,gx,gy,gz,temp,timingForThisSet,timeDifference
41,1552,1490,0,10.01,0.7,-3.32,1.49,-0.36,1.3,36.58,3.0,
41,1552,1490,1,9.97,0.66,-3.39,1.45,-0.33,1.31,36.62,3.0,
41,1552,1490,2,9.85,0.6,-3.29,1.4,-0.3,1.3,36.62,3.0,
41,1552,1490,3,9.75,0.53,-3.3,1.36,-0.28,1.3,36.58,3.0,
41,1552,1490,4,9.8,0.56,-3.24,1.31,-0.25,1.29,36.67,3.0,
41,1552,1490,5,9.74,0.47,-3.17,1.26,-0.23,1.28,36.67,3.0,
41,1552,1490,6,9.62,0.52,-3.22,1.21,-0.2,1.26,36.58,3.0,
41,1552,1490,7,9.73,0.53,-3.24,1.15,-0.17,1.25,36.67,3.0,
41,1552,1490,8,9.61,0.63,-3.4,1.09,-0.14,1.23,36.58,3.0,
41,1552,1490,9,9.63,0.71,-3.58,1.04,-0.11,1.22,36.62,3.0,
41,1552,1490,10,9.6,0.72,-3.7,0.97,-0.07,1.21,36.72,3.0,
41,1552,1490,11,9.62,0.84,-3.64,0.91,-0.04,1.19,36.62,3.0,
41,1552,1490,12,9.56,0.89,-3.7,0.85,0.0,1.19,36.62,3.0,
41,1552,1490,13,9.44,0.9,-3.57,0.79,0.04,1.18,36.62,3.0,
41,1552,1490,14,9.57,1.09,-3.71,0.72,0.08,1.17,36.62,3.0,
41,1552,1490,15,9.53,1.11,-3.77,0.67,0.11,1.17,36.67,3.0,
41,1552,1490,16,9.65,1.26,-3.94,0.61,0.16,1.18,36.58,3.0,
41,1552,1490,17,9.65,1.3,-3.92,0.56,0.2,1.18,36.58,3.0,
41,1552,1490,18,9.68,1.3,-4.1,0.5,0.26,1.18,36.58,3.0,
41,1552,1490,19,9.83,1.39,-4.08,0.44,0.3,1.18,36.58,3.0,
42,261,200,0,10.01,0.7,-3.32,1.49,-0.36,1.3,36.58,3.0,
42,261,200,1,9.97,0.66,-3.39,1.45,-0.33,1.31,36.62,3.0,
42,261,200,2,9.85,0.6,-3.29,1.4,-0.3,1.3,36.62,3.0,
42,261,200,3,9.75,0.53,-3.3,1.36,-0.28,1.3,36.58,3.0,
42,261,200,4,9.8,0.56,-3.24,1.31,-0.25,1.29,36.67,3.0,
