,accounter,latitude,longitude,altitude,satelliteInView,timingForThisSet,LoopSpeed,UploadSpeed
0,27,0.0,0.0,0.0,0.0,0.0,821,118
1,27,0.0,0.0,0.0,0.0,0.0,921,118
2,27,0.0,0.0,0.0,0.0,0.0,921,118
3,27,0.0,0.0,0.0,0.0,0.0,921,118
4,27,0.0,0.0,0.0,0.0,0.0,821,118
5,27,0.0,0.0,0.0,0.0,0.0,821,118
6,27,0.0,0.0,0.0,0.0,0.0,821,118
7,27,0.0,0.0,0.0,0.0,0.0,921,118
8,27,0.0,0.0,0.0,0.0,0.0,921,118
9,27,0.0,0.0,0.0,0.0,0.0,821,118
10,27,0.0,0.0,0.0,0.0,0.0,821,118
11,27,0.0,0.0,0.0,0.0,0.0,821,118
12,28,0.0,0.0,0.0,0.0,0.0,1070,145
13,28,0.0,0.0,0.0,0.0,0.0,1070,145
14,28,0.0,0.0,0.0,0.0,0.0,720,145
15,28,0.0,0.0,0.0,0.0,0.0,821,145
16,28,0.0,0.0,0.0,0.0,0.0,720,145
17,28,0.0,0.0,0.0,0.0,0.0,720,145
18,28,0.0,0.0,0.0,0.0,0.0,720,145
19,28,0.0,0.0,0.0,0.0,0.0,922,145
20,28,0.0,0.0,0.0,0.0,0.0,922,145
21,28,0.0,0.0,0.0,0.0,0.0,922,145
22,28,0.0,0.0,0.0,0.0,0.0,922,145
23,28,0.0,0.0,0.0,0.0,0.0,821,145
24,28,0.0,0.0,0.0,0.0,0.0,821,145
25,28,0.0,0.0,0.0,0.0,0.0,821,145
26,28,0.0,0.0,0.0,0.0,0.0,922,145
27,28,0.0,0.0,0.0,0.0,0.0,922,145
28,28,0.0,0.0,0.0,0.0,0.0,922,145
29,28,0.0,0.0,0.0,0.0,0.0,821,145
30,28,0.0,0.0,0.0,0.0,0.0,821,145
31,28,0.0,0.0,0.0,0.0,0.0,821,145
32,28,0.0,0.0,0.0,0.0,0.0,922,145
33,28,0.0,0.0,0.0,0.0,0.0,922,145
34,28,0.0,0.0,0.0,0.0,0.0,922,145
35,29,0.0,0.0,0.0,0.0,0.0,1256,333
36,29,0.0,0.0,0.0,0.0,0.0,1256,333
37,29,0.0,0.0,0.0,0.0,0.0,518,333
38,29,0.0,0.0,0.0,0.0,0.0,518,333
39,29,0.0,0.0,0.0,0.0,0.0,719,333
40,29,0.0,0.0,0.0,0.0,0.0,720,333
41,29,0.0,0.0,0.0,0.0,0.0,922,333
42,29,0.0,0.0,0.0,0.0,0.0,922,333
43,29,0.0,0.0,0.0,0.0,0.0,922,333
44,29,0.0,0.0,0.0,0.0,0.0,619,333
45,29,0.0,0.0,0.0,0.0,0.0,619,333
46,29,0.0,0.0,0.0,0.0,0.0,619,333
47,29,0.0,0.0,0.0,0.0,0.0,922,333
48,29,0.0,0.0,0.0,0.0,0.0,922,333
49,29,0.0,0.0,0.0,0.0,0.0,820,333
50,29,0.0,0.0,0.0,0.0,0.0,820,333
51,29,0.0,0.0,0.0,0.0,0.0,820,333
52,29,0.0,0.0,0.0,0.0,0.0,921,333
53,29,0.0,0.0,0.0,0.0,0.0,921,333
54,29,0.0,0.0,0.0,0.0,0.0,921,333
55,29,0.0,0.0,0.0,0.0,0.0,921,333
56,29,0.0,0.0,0.0,0.0,0.0,922,333
57,29,0.0,0.0,0.0,0.0,0.0,922,333
58,30,0.0,0.0,0.0,0.0,0.0,922,333
59,30,0.0,0.0,0.0,0.0,0.0,930,108
60,30,0.0,0.0,0.0,0.0,0.0,930,108
61,30,0.0,0.0,0.0,0.0,0.0,721,108
62,30,0.0,0.0,0.0,0.0,0.0,721,108
63,30,0.0,0.0,0.0,0.0,0.0,721,108
64,30,0.0,0.0,0.0,0.0,0.0,721,108
65,30,0.0,0.0,0.0,0.0,0.0,721,108
66,30,0.0,0.0,0.0,0.0,0.0,721,108
67,30,0.0,0.0,0.0,0.0,0.0,821,108
68,30,0.0,0.0,0.0,0.0,0.0,821,108
69,30,0.0,0.0,0.0,0.0,0.0,821,108
70,30,0.0,0.0,0.0,0.0,0.0,922,108
71,30,0.0,0.0,0.0,0.0,0.0,922,108
72,30,0.0,0.0,0.0,0.0,0.0,922,108
73,30,0.0,0.0,0.0,0.0,0.0,821,108
74,30,0.0,0.0,0.0,0.0,0.0,821,108
75,30,0.0,0.0,0.0,0.0,0.0,821,108
76,30,0.0,0.0,0.0,0.0,0.0,922,108
77,30,0.0,0.0,0.0,0.0,0.0,922,108
78,30,0.0,0.0,0.0,0.0,0.0,922,108
79,30,0.0,0.0,0.0,0.0,0.0,820,108
80,30,0.0,0.0,0.0,0.0,0.0,820,108
81,30,0.0,0.0,0.0,0.0,0.0,820,108
82,30,0.0,0.0,0.0,0.0,0.0,922,108
83,30,0.0,0.0,0.0,0.0,0.0,922,108
84,30,0.0,0.0,0.0,0.0,0.0,922,108
85,30,0.0,0.0,0.0,0.0,0.0,820,108
86,30,0.0,0.0,0.0,0.0,0.0,820,108
87,31,0.0,0.0,0.0,0.0,0.0,1056,134
88,31,0.0,0.0,0.0,0.0,0.0,1056,134
89,31,0.0,0.0,0.0,0.0,0.0,517,134
90,31,0.0,0.0,0.0,0.0,0.0,821,134
91,31,0.0,0.0,0.0,0.0,0.0,821,134
92,31,0.0,0.0,0.0,0.0,0.0,922,134
93,31,0.0,0.0,0.0,0.0,0.0,922,134
94,31,0.0,0.0,0.0,0.0,0.0,922,134
95,31,0.0,0.0,0.0,0.0,0.0,922,134
96,31,0.0,0.0,0.0,0.0,0.0,821,134
97,31,0.0,0.0,0.0,0.0,0.0,215,134
98,31,0.0,0.0,0.0,0.0,0.0,215,134
99,31,0.0,0.0,0.0,0.0,0.0,215,134
100,31,0.0,0.0,0.0,0.0,0.0,821,134
101,31,0.0,0.0,0.0,0.0,0.0,821,134
102,31,0.0,0.0,0.0,0.0,0.0,821,134
103,31,0.0,0.0,0.0,0.0,0.0,922,134
104,31,0.0,0.0,0.0,0.0,0.0,922,134
105,31,0.0,0.0,0.0,0.0,0.0,821,134
106,31,0.0,0.0,0.0,0.0,0.0,821,134
107,31,0.0,0.0,0.0,0.0,0.0,821,134
108,31,0.0,0.0,0.0,0.0,0.0,922,134
109,31,0.0,0.0,0.0,0.0,0.0,922,134
110,31,0.0,0.0,0.0,0.0,0.0,720,134
111,31,0.0,0.0,0.0,0.0,0.0,720,134
112,31,0.0,0.0,0.0,0.0,0.0,720,134
113,32,0.0,0.0,0.0,0.0,0.0,925,105
114,32,0.0,0.0,0.0,0.0,0.0,821,105
115,32,0.0,0.0,0.0,0.0,0.0,821,105
116,32,0.0,0.0,0.0,0.0,0.0,821,105
117,32,0.0,0.0,0.0,0.0,0.0,821,105
118,32,0.0,0.0,0.0,0.0,0.0,821,105
119,32,0.0,0.0,0.0,0.0,0.0,821,105
120,32,0.0,0.0,0.0,0.0,0.0,821,105
121,32,0.0,0.0,0.0,0.0,0.0,821,105
122,32,0.0,0.0,0.0,0.0,0.0,518,105
123,32,0.0,0.0,0.0,0.0,0.0,518,105
124,32,0.0,0.0,0.0,0.0,0.0,720,105
125,32,0.0,0.0,0.0,0.0,0.0,720,105
126,32,0.0,0.0,0.0,0.0,0.0,821,105
127,32,0.0,0.0,0.0,0.0,0.0,821,105
128,32,0.0,0.0,0.0,0.0,0.0,720,105
129,32,0.0,0.0,0.0,0.0,0.0,720,105
130,32,0.0,0.0,0.0,0.0,0.0,821,105
131,32,0.0,0.0,0.0,0.0,0.0,821,105
132,33,0.0,0.0,0.0,0.0,0.0,835,114
133,33,0.0,0.0,0.0,0.0,0.0,835,114
134,33,0.0,0.0,0.0,0.0,0.0,835,114
135,33,0.0,0.0,0.0,0.0,0.0,821,114
136,33,0.0,0.0,0.0,0.0,0.0,821,114
137,33,0.0,0.0,0.0,0.0,0.0,821,114
138,33,0.0,0.0,0.0,0.0,0.0,822,114
139,33,0.0,0.0,0.0,0.0,0.0,922,114
140,33,0.0,0.0,0.0,0.0,0.0,922,114
141,33,0.0,0.0,0.0,0.0,0.0,921,114
142,33,0.0,0.0,0.0,0.0,0.0,921,114
143,33,0.0,0.0,0.0,0.0,0.0,921,114
144,33,0.0,0.0,0.0,0.0,0.0,820,114
145,33,0.0,0.0,0.0,0.0,0.0,820,114
146,33,0.0,0.0,0.0,0.0,0.0,922,114
147,33,0.0,0.0,0.0,0.0,0.0,922,114
148,33,0.0,0.0,0.0,0.0,0.0,922,114
149,33,0.0,0.0,0.0,0.0,0.0,821,114
150,33,0.0,0.0,0.0,0.0,0.0,821,114
151,33,0.0,0.0,0.0,0.0,0.0,821,114
152,33,0.0,0.0,0.0,0.0,0.0,922,114
153,34,0.0,0.0,0.0,0.0,0.0,922,114
154,34,0.0,0.0,0.0,0.0,0.0,846,328
155,34,0.0,0.0,0.0,0.0,0.0,846,328
156,34,0.0,0.0,0.0,0.0,0.0,518,328
157,34,0.0,0.0,0.0,0.0,0.0,518,328
158,34,0.0,0.0,0.0,0.0,0.0,518,328
159,34,0.0,0.0,0.0,0.0,0.0,922,328
160,34,0.0,0.0,0.0,0.0,0.0,922,328
161,34,0.0,0.0,0.0,0.0,0.0,922,328
162,34,0.0,0.0,0.0,0.0,0.0,922,328
163,34,0.0,0.0,0.0,0.0,0.0,921,328
164,34,0.0,0.0,0.0,0.0,0.0,618,328
165,34,0.0,0.0,0.0,0.0,0.0,618,328
166,34,0.0,0.0,0.0,0.0,0.0,820,328
167,34,0.0,0.0,0.0,0.0,0.0,820,328
168,34,0.0,0.0,0.0,0.0,0.0,820,328
169,34,0.0,0.0,0.0,0.0,0.0,922,328
170,34,0.0,0.0,0.0,0.0,0.0,922,328
171,34,0.0,0.0,0.0,0.0,0.0,922,328
172,34,0.0,0.0,0.0,0.0,0.0,921,328
173,34,0.0,0.0,0.0,0.0,0.0,921,328
174,34,0.0,0.0,0.0,0.0,0.0,921,328
