accounter,LoopSpeedArr,UploadSpeedArr,set_index,Ax,Ay,Az,gx,gy,gz,temp,timingForThisSet,timeDifference
892,264,202,0,0.47,2.46,9.11,-0.01,-0.02,0.0,29.71,3.0,
892,264,202,1,0.47,2.53,9.18,-0.01,-0.01,0.0,29.89,3.0,
892,264,202,2,0.46,2.51,9.22,-0.01,-0.01,0.0,29.8,3.0,
892,264,202,3,0.43,2.45,9.23,-0.01,-0.02,-0.0,29.8,3.0,
892,264,202,4,0.47,2.5,9.15,-0.01,-0.01,0.0,29.8,3.0,
892,264,202,5,0.45,2.5,9.08,-0.01,-0.01,-0.0,29.8,3.0,
892,264,202,6,0.48,2.47,9.17,-0.01,-0.01,-0.0,29.85,3.0,
892,264,202,7,0.51,2.54,9.13,-0.01,-0.01,0.0,29.75,3.0,
892,264,202,8,0.53,2.51,9.19,-0.01,-0.02,0.0,29.85,3.0,
892,264,202,9,0.5,2.5,9.17,-0.01,-0.01,0.0,29.85,3.0,
892,264,202,10,0.47,2.49,9.21,-0.01,-0.02,0.0,29.8,3.0,
892,264,202,11,0.5,2.5,9.14,-0.01,-0.01,0.0,29.8,3.0,
892,264,202,12,0.46,2.48,9.08,-0.01,-0.02,0.0,29.8,3.0,
892,264,202,13,0.45,2.55,9.23,-0.01,-0.01,-0.0,29.75,2.0,
892,264,202,14,0.48,2.51,9.15,-0.01,-0.01,0.0,29.75,2.0,
892,264,202,15,0.43,2.48,9.12,-0.01,-0.01,-0.0,29.85,2.0,
892,264,202,16,0.44,2.47,9.11,-0.01,-0.01,0.0,29.94,3.0,
892,264,202,17,0.49,2.5,9.11,-0.01,-0.01,0.0,29.75,3.0,
892,264,202,18,0.38,2.49,9.08,-0.01,-0.02,0.0,29.8,3.0,
892,264,202,19,0.46,2.48,9.14,-0.01,-0.01,0.0,29.8,3.0,
893,264,202,0,0.47,2.46,9.11,-0.01,-0.02,0.0,29.71,3.0,
893,264,202,1,0.47,2.53,9.18,-0.01,-0.01,0.0,29.89,3.0,
893,264,202,2,0.46,2.51,9.22,-0.01,-0.01,0.0,29.8,3.0,
893,264,202,3,0.43,2.45,9.23,-0.01,-0.02,-0.0,29.8,3.0,
893,264,202,4,0.47,2.5,9.15,-0.01,-0.01,0.0,29.8,3.0,
893,264,202,5,0.45,2.5,9.08,-0.01,-0.01,-0.0,29.8,3.0,
893,264,202,6,0.48,2.47,9.17,-0.01,-0.01,-0.0,29.85,3.0,
893,264,202,7,0.51,2.54,9.13,-0.01,-0.01,0.0,29.75,3.0,
893,264,202,8,0.53,2.51,9.19,-0.01,-0.02,0.0,29.85,3.0,
893,264,202,9,0.5,2.5,9.17,-0.01,-0.01,0.0,29.85,3.0,
